clip_id,dataset_name,language,model_name,metric_status,duration_seconds,runtime_seconds,rtf,num_reference_turns,num_predicted_turns,num_reference_speakers,num_predicted_speakers,der,jer,der_skip_overlap,jer_skip_overlap,project_speaker_label_error,turn_time_coverage,boundary_mae,overlap_precision,overlap_recall,overlap_f1,interruption_precision,interruption_recall,interruption_f1,predicted_turns_path,claim_level,notes
aishell4_test_001,AISHELL-4,zh-CN,pyannote/speaker-diarization-community-1,ok,20.000000,14.061189,0.703059,8,7,6,2,0.317570,0.817340,0.317570,0.817340,0.358241,0.917614,1.286333,,,,,,,outputs/diarization/pyannote_mandarin_meeting_real/aishell4_test_001_pyannote_turns.json,automatic_pyannote_real,"Automatic pyannote diarization scored with pyannote.metrics DER/JER; collar=0.25s, primary DER uses skip_overlap=false."
aishell4_test_007,AISHELL-4,zh-CN,pyannote/speaker-diarization-community-1,ok,20.000000,9.384950,0.469247,4,3,2,1,0.157584,0.578792,0.157584,0.578792,0.169606,0.989564,0.794000,,,,,,,outputs/diarization/pyannote_mandarin_meeting_real/aishell4_test_007_pyannote_turns.json,automatic_pyannote_real,"Automatic pyannote diarization scored with pyannote.metrics DER/JER; collar=0.25s, primary DER uses skip_overlap=false."
