stage,latency_seconds,is_mock,mode,notes
preprocessing,3e-06,true,mock_demo,Measured elapsed time on deterministic mock/demo data.
asr,5.4e-05,true,mock_demo,Measured elapsed time on deterministic mock/demo data.
diarization,2.2e-05,true,mock_demo,Measured elapsed time on deterministic mock/demo data.
alignment,8.4e-05,true,deterministic_timestamp_midpoint,Measured elapsed time on deterministic mock/demo data.
overlap_detection,1.7e-05,true,interval_intersection,Measured elapsed time on deterministic mock/demo data.
rag_retrieval,0.024155,true,local_tfidf,Measured elapsed time on deterministic mock/demo data.
llm_correction,9.5e-05,true,rule_fallback,Measured elapsed time on deterministic mock/demo data.
summary,1.5e-05,true,deterministic_extractive,Measured elapsed time on deterministic mock/demo data.
