method,num_examples,label_source,macro_f1,unsafe_accept_rate,needs_review_recall,accept_precision,reject_recall,coverage,per_category_unsafe_accept_rate,provider,model,api_used_count,fallback_used_count
always_accept,72,pilot_auto_labeled,0.166667,1.0,0.0,0.333333,0.0,1.0,"{""fluent_hallucination"": 1.0, ""heavy_overlap"": 1.0, ""no_change_case"": 1.0, ""ordinary_word_negative_control"": 1.0, ""partial_utterance"": 1.0, ""speaker_attribution_risk"": 1.0, ""technical_term_recovery"": 1.0, ""weak_retrieval_evidence"": 1.0}",,,0,0
always_review,72,pilot_auto_labeled,0.166667,0.0,1.0,0.0,0.0,0.0,"{""fluent_hallucination"": 0.0, ""heavy_overlap"": 0.0, ""no_change_case"": 0.0, ""ordinary_word_negative_control"": 0.0, ""partial_utterance"": 0.0, ""speaker_attribution_risk"": 0.0, ""technical_term_recovery"": 0.0, ""weak_retrieval_evidence"": 0.0}",,,0,0
EccoGate,72,pilot_auto_labeled,0.818736,0.0,0.666667,1.0,0.791667,0.708333,"{""fluent_hallucination"": 0.0, ""heavy_overlap"": 0.0, ""no_change_case"": 0.0, ""ordinary_word_negative_control"": 0.0, ""partial_utterance"": 0.0, ""speaker_attribution_risk"": 0.0, ""technical_term_recovery"": 0.0, ""weak_retrieval_evidence"": 0.0}",,,0,0
