model_name,feature_set,split,is_baseline,num_examples,accuracy,macro_f1,false_accept_rate,unsafe_accept_rate,reject_precision,reject_recall,needs_review_recall,accept_precision,per_class_metrics,confusion_matrix
random_forest,risk_only,test,False,101,0.9306930693069307,0.9243964483776961,0.13333333333333333,0.0,1.0,0.9473684210526315,0.7692307692307693,0.9032258064516129,"{""accept"": {""f1"": 0.9491525423728814, ""precision"": 0.9032258064516129, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 0.851063829787234, ""precision"": 0.9523809523809523, ""recall"": 0.7692307692307693, ""support"": 26}, ""reject"": {""f1"": 0.972972972972973, ""precision"": 1.0, ""recall"": 0.9473684210526315, ""support"": 19}}","[[56, 0, 0], [0, 18, 1], [6, 0, 20]]"
gradient_boosting,risk_only,test,False,101,0.9207920792079208,0.9075359733157508,0.13333333333333333,0.0,0.9473684210526315,0.9473684210526315,0.7307692307692307,0.9032258064516129,"{""accept"": {""f1"": 0.9491525423728814, ""precision"": 0.9032258064516129, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 0.8260869565217391, ""precision"": 0.95, ""recall"": 0.7307692307692307, ""support"": 26}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9473684210526315, ""recall"": 0.9473684210526315, ""support"": 19}}","[[56, 0, 0], [0, 18, 1], [6, 1, 19]]"
logistic_regression,risk_only,test,False,101,0.9207920792079208,0.9075359733157508,0.13333333333333333,0.0,0.9473684210526315,0.9473684210526315,0.7307692307692307,0.9032258064516129,"{""accept"": {""f1"": 0.9491525423728814, ""precision"": 0.9032258064516129, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 0.8260869565217391, ""precision"": 0.95, ""recall"": 0.7307692307692307, ""support"": 26}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9473684210526315, ""recall"": 0.9473684210526315, ""support"": 19}}","[[56, 0, 0], [0, 18, 1], [6, 1, 19]]"
gradient_boosting,risk_only,validation,False,63,0.9682539682539683,0.9616228070175438,0.0,0.0,0.9,1.0,0.8823529411764706,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 0.9375, ""precision"": 1.0, ""recall"": 0.8823529411764706, ""support"": 17}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9, ""recall"": 1.0, ""support"": 18}}","[[28, 0, 0], [0, 18, 0], [0, 2, 15]]"
random_forest,risk_only,validation,False,63,0.9682539682539683,0.9616228070175438,0.0,0.0,0.9,1.0,0.8823529411764706,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 0.9375, ""precision"": 1.0, ""recall"": 0.8823529411764706, ""support"": 17}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9, ""recall"": 1.0, ""support"": 18}}","[[28, 0, 0], [0, 18, 0], [0, 2, 15]]"
logistic_regression,risk_only,validation,False,63,0.9523809523809523,0.9426699426699426,0.0,0.0,0.8947368421052632,0.9444444444444444,0.8823529411764706,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 0.9090909090909091, ""precision"": 0.9375, ""recall"": 0.8823529411764706, ""support"": 17}, ""reject"": {""f1"": 0.918918918918919, ""precision"": 0.8947368421052632, ""recall"": 0.9444444444444444, ""support"": 18}}","[[28, 0, 0], [0, 17, 1], [0, 2, 15]]"
