model_name,split,is_baseline,num_examples,accuracy,macro_f1,false_accept_rate,unsafe_accept_rate,reject_precision,reject_recall,needs_review_recall,accept_precision,per_class_metrics,confusion_matrix
gradient_boosting,test,False,101,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 26}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 19}}","[[56, 0, 0], [0, 19, 0], [0, 0, 26]]"
logistic_regression,test,False,101,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 26}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 19}}","[[56, 0, 0], [0, 19, 0], [0, 0, 26]]"
random_forest,test,False,101,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 56}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 26}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 19}}","[[56, 0, 0], [0, 19, 0], [0, 0, 26]]"
gradient_boosting,validation,False,63,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 17}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 18}}","[[28, 0, 0], [0, 18, 0], [0, 0, 17]]"
logistic_regression,validation,False,63,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 17}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 18}}","[[28, 0, 0], [0, 18, 0], [0, 0, 17]]"
random_forest,validation,False,63,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"{""accept"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 28}, ""needs_review"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 17}, ""reject"": {""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 18}}","[[28, 0, 0], [0, 18, 0], [0, 0, 17]]"
