model_name,feature_set,split,is_baseline,num_examples,accuracy,macro_f1,false_accept_rate,unsafe_accept_rate,reject_precision,reject_recall,needs_review_recall,accept_precision,per_class_metrics,confusion_matrix
random_forest,evidence_only,test,False,101,0.9801980198019802,0.9756294756294756,0.0,0.0,0.95,1.0,0.9615384615384616,1.0,"{""accept"": {""f1"": 0.990990990990991, ""precision"": 1.0, ""recall"": 0.9821428571428571, ""support"": 56}, ""needs_review"": {""f1"": 0.9615384615384616, ""precision"": 0.9615384615384616, ""recall"": 0.9615384615384616, ""support"": 26}, ""reject"": {""f1"": 0.9743589743589743, ""precision"": 0.95, ""recall"": 1.0, ""support"": 19}}","[[55, 0, 1], [0, 19, 0], [0, 1, 25]]"
logistic_regression,evidence_only,test,False,101,0.9702970297029703,0.9607224871930754,0.0,0.0,0.9047619047619048,1.0,0.9230769230769231,1.0,"{""accept"": {""f1"": 0.990990990990991, ""precision"": 1.0, ""recall"": 0.9821428571428571, ""support"": 56}, ""needs_review"": {""f1"": 0.9411764705882353, ""precision"": 0.96, ""recall"": 0.9230769230769231, ""support"": 26}, ""reject"": {""f1"": 0.95, ""precision"": 0.9047619047619048, ""recall"": 1.0, ""support"": 19}}","[[55, 0, 1], [0, 19, 0], [0, 2, 24]]"
gradient_boosting,evidence_only,test,False,101,0.9702970297029703,0.9605852128195723,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9615384615384616,1.0,"{""accept"": {""f1"": 0.990990990990991, ""precision"": 1.0, ""recall"": 0.9821428571428571, ""support"": 56}, ""needs_review"": {""f1"": 0.9433962264150944, ""precision"": 0.9259259259259259, ""recall"": 0.9615384615384616, ""support"": 26}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9473684210526315, ""recall"": 0.9473684210526315, ""support"": 19}}","[[55, 0, 1], [0, 18, 1], [0, 1, 25]]"
logistic_regression,evidence_only,validation,False,63,0.9365079365079365,0.9266317016317016,0.0,0.0,0.8571428571428571,1.0,0.8235294117647058,1.0,"{""accept"": {""f1"": 0.9818181818181818, ""precision"": 1.0, ""recall"": 0.9642857142857143, ""support"": 28}, ""needs_review"": {""f1"": 0.875, ""precision"": 0.9333333333333333, ""recall"": 0.8235294117647058, ""support"": 17}, ""reject"": {""f1"": 0.9230769230769231, ""precision"": 0.8571428571428571, ""recall"": 1.0, ""support"": 18}}","[[27, 0, 1], [0, 18, 0], [0, 3, 14]]"
gradient_boosting,evidence_only,validation,False,63,0.7619047619047619,0.7705698354413165,0.0,0.0,0.9,1.0,0.8823529411764706,1.0,"{""accept"": {""f1"": 0.6976744186046512, ""precision"": 1.0, ""recall"": 0.5357142857142857, ""support"": 28}, ""needs_review"": {""f1"": 0.6666666666666666, ""precision"": 0.5357142857142857, ""recall"": 0.8823529411764706, ""support"": 17}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9, ""recall"": 1.0, ""support"": 18}}","[[15, 0, 13], [0, 18, 0], [0, 2, 15]]"
random_forest,evidence_only,validation,False,63,0.7619047619047619,0.7705698354413165,0.0,0.0,0.9,1.0,0.8823529411764706,1.0,"{""accept"": {""f1"": 0.6976744186046512, ""precision"": 1.0, ""recall"": 0.5357142857142857, ""support"": 28}, ""needs_review"": {""f1"": 0.6666666666666666, ""precision"": 0.5357142857142857, ""recall"": 0.8823529411764706, ""support"": 17}, ""reject"": {""f1"": 0.9473684210526315, ""precision"": 0.9, ""recall"": 1.0, ""support"": 18}}","[[15, 0, 13], [0, 18, 0], [0, 2, 15]]"
